Age,Occupation,Gender,How do you segregate your waste?,Do you know anything about E-waste,"How often do you dispose of electronic devices (e.g., phones, computers, appliances)?",What method do you primarily use to dispose of your e-waste?,How aware are you of the environmental impact of improper e-waste disposal?,Do you know about local e-waste recycling facilities in your area?,What motivates you to recycle your e-waste? (Select the most important reason),What is the primary barrier to proper e-waste disposal for you?,How satisfied are you with the e-waste management services in your area?,How likely are you to participate in an e-waste recycling program if it was convenient and free?,How important is it for you that your e-waste is disposed of responsibly?,Would you be willing to pay a small fee for the proper disposal and recycling of your e-waste?,Any other thoughts on E-waste
25-34,Self-employed/Entrepreneur,Male,I do not segregate,"Yes, I know it can be recycled to recover valuable materials.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Somewhat aware,"No, but I would use them if I knew more",Social responsibility,Lack of local facilities,Dissatisfied,Likely,Important,Not sure,
25-34,Professional/Office worker,Male,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Once a year,Donating to charity or second-hand stores,Unaware,"No, but I would use them if I knew more",Getting rid of waste,No perceived need to recycle,Neutral,Very likely,Important,Yes,
25-34,Unemployed/Retired,Male,"Dry, wet","Yes, I know it can be recycled to recover valuable materials.",More than twice a year,Donating to charity or second-hand stores,Very aware,"No, but I would use them if I knew more",Environmental concerns,Lack of local facilities,Dissatisfied,Likely,Important,"Maybe, depends on the fee",
25-34,Professional/Office worker,Male,I do not segregate,"Yes, I know it can be recycled to recover valuable materials.",Less than once a year,Donating to charity or second-hand stores,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Dissatisfied,Likely,Important,"Maybe, depends on the fee",
35-44,Self-employed/Entrepreneur,Female,"Dry, wet, E-waste","Yes, I know it can be recycled to recover valuable materials.",Once a year,Donating to charity or second-hand stores,Very aware,"Yes, but I rarely use them",Environmental concerns,Lack of local facilities,Neutral,Likely,Very important,"Maybe, depends on the fee",
25-34,Professional/Office worker,Male,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Once a year,Selling to informal recyclers/Kabadiwalas,Somewhat aware,"Yes, but I rarely use them",Environmental concerns,Lack of local facilities,Neutral,Neutral,Very important,"Maybe, depends on the fee",Should be handled properly and recycling should be done along with spreading awareness.
35-44,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Municipal waste collection,Neutral,"No, and I’m not interested",Getting rid of waste,Lack of information on how to dispose,Neutral,Neutral,Important,"Maybe, depends on the fee",
45-54,Unemployed/Retired,Female,"Dry, wet, E-waste","Yes, I know it can contain harmful chemicals.",Once a year,Special e-waste collection programs,Somewhat aware,"Yes, but I rarely use them",Environmental concerns,Inconvenience of disposal options,Neutral,Very likely,Very important,"Maybe, depends on the fee",
45-54,Home-Maker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Special e-waste collection programs,Very aware,"Yes, and I use them regularly",Environmental concerns,Inconvenience of disposal options,Satisfied,Likely,Very important,Not sure,
35-44,Professional/Office worker,Female,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Less than once a year,Municipal waste collection,Somewhat aware,"Yes, but I rarely use them",Social responsibility,Inconvenience of disposal options,Neutral,Very likely,Very important,"Maybe, depends on the fee",
25-34,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Donating to charity or second-hand stores,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Dissatisfied,Very likely,Neutral,"Maybe, depends on the fee",
18-24,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Very aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Neutral,Very likely,Very important,Yes,No
25-34,Unemployed/Retired,Female,"Dry, wet","Yes, I know it can be recycled to recover valuable materials.",Once a year,Selling to informal recyclers/Kabadiwalas,Very aware,"Yes, and I use them regularly",Environmental concerns,Lack of information on how to dispose,Very satisfied,Unlikely,Very important,Yes,It's important in any case 
25-34,Professional/Office worker,Female,"Dry, wet","Yes, I know it can be recycled to recover valuable materials.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Neutral,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Dissatisfied,Very likely,Very important,"Maybe, depends on the fee",No
25-34,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Somewhat aware,"No, but I would use them if I knew more",Social responsibility,Inconvenience of disposal options,Neutral,Very likely,Very important,"Maybe, depends on the fee",
25-34,Professional/Office worker,Male,"Dry, wet","Yes, I know it can contain harmful chemicals.",Less than once a year,Municipal waste collection,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Satisfied,Likely,Important,"Maybe, depends on the fee","Personal data on E-waste could be recoverable, a cause for concern"
18-24,Professional/Office worker,Female,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Twice a year,Donating to charity or second-hand stores,Very aware,"Yes, and I use them regularly",Environmental concerns,Lack of information on how to dispose,Very satisfied,Very likely,Very important,Yes,
25-34,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",More than twice a year,Donating to charity or second-hand stores,Somewhat aware,"No, but I would use them if I knew more",Getting rid of waste,Lack of local facilities,Neutral,Very likely,Very important,"Maybe, depends on the fee",
25-34,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Somewhat aware,"Yes, but I rarely use them",Financial incentives,No perceived need to recycle,Dissatisfied,Neutral,Important,Not sure,
25-34,Professional/Office worker,Female,"Dry, wet, E-waste","Yes, I know it can contain harmful chemicals.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Very aware,"No, but I would use them if I knew more",Environmental concerns,Lack of local facilities,Neutral,Very likely,Very important,"Maybe, depends on the fee",It should indeed be disposed in a sustianable manner.
25-34,Professional/Office worker,Male,I do not segregate,"Yes, I know it refers to discarded electronic devices.",Less than once a year,Municipal waste collection,Unaware,"No, and I’m not interested",Getting rid of waste,Lack of information on how to dispose,Neutral,Very likely,Neutral,No,
18-24,Professional/Office worker,Female,"Dry, wet","Yes, I know it can be recycled to recover valuable materials.",Twice a year,Special e-waste collection programs,Somewhat aware,"No, but I would use them if I knew more",Financial incentives,Inconvenience of disposal options,Neutral,Likely,Important,No,
45-54,Home-Maker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",More than twice a year,Municipal waste collection,Very aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Neutral,Likely,Very important,"Maybe, depends on the fee",
18-24,Unemployed/Retired,Male,I do not segregate,"No, I don't know much about E-waste.",Less than once a year,Municipal waste collection,Unaware,"No, but I would use them if I knew more",Getting rid of waste,Lack of information on how to dispose,Dissatisfied,Unlikely,Neutral,No,
25-34,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Donating to charity or second-hand stores,Very aware,"No, and I’m not interested",Environmental concerns,Lack of local facilities,Satisfied,Very likely,Very important,No,N/A
18-24,Unemployed/Retired,Female,I do not segregate,"Yes, I know it can be recycled to recover valuable materials.",More than twice a year,Municipal waste collection,Neutral,"Yes, and I use them regularly",Environmental concerns,Lack of local facilities,Neutral,Likely,Neutral,No,
18-24,Professional/Office worker,Male,"Dry, wet","No, I don't know much about E-waste.",Less than once a year,Donating to charity or second-hand stores,Somewhat aware,"No, but I would use them if I knew more",Financial incentives,Lack of local facilities,Dissatisfied,Likely,Important,Not sure,Nil
25-34,Professional/Office worker,Female,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Once a year,Selling to informal recyclers/Kabadiwalas,Very aware,"Yes, but I rarely use them",Environmental concerns,Lack of local facilities,Dissatisfied,Likely,Important,"Maybe, depends on the fee",
35-44,Self-employed/Entrepreneur,Female,"Dry, wet, E-waste","Yes, I know it can be recycled to recover valuable materials.",Twice a year,Selling to informal recyclers/Kabadiwalas,Unaware,"Yes, and I use them regularly",Environmental concerns,Lack of local facilities,Neutral,Neutral,Important,No,
18-24,Professional/Office worker,Male,"Dry, wet, E-waste","Yes, I know it can be recycled to recover valuable materials.",Once a year,Municipal waste collection,Very aware,"Yes, but I rarely use them",Environmental concerns,Lack of information on how to dispose,Satisfied,Very likely,Important,Yes,
25-34,Professional/Office worker,Male,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Municipal waste collection,Very aware,"No, but I would use them if I knew more",Environmental concerns,Lack of local facilities,Neutral,Neutral,Important,"Maybe, depends on the fee",
18-24,Unemployed/Retired,Female,"Dry, wet","No, I don't know much about E-waste.",Once a year,Selling to informal recyclers/Kabadiwalas,Neutral,"No, but I would use them if I knew more",Getting rid of waste,Lack of information on how to dispose,Neutral,Unlikely,Neutral,Not sure,
55 and above,Unemployed/Retired,Male,"Dry, wet","No, I don't know much about E-waste.",More than twice a year,Donating to charity or second-hand stores,Neutral,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Dissatisfied,Neutral,Important,"Maybe, depends on the fee",Proper policy making by the government to improve e Weste management 
55 and above,Unemployed/Retired,Male,"Dry, wet","No, I don't know much about E-waste.",More than twice a year,Selling to informal recyclers/Kabadiwalas,Unaware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Dissatisfied,Very likely,Very important,"Maybe, depends on the fee",A proper channel is required for e waste management 
55 and above,Unemployed/Retired,Male,"Dry, wet","No, I don't know much about E-waste.",Once a year,Donating to charity or second-hand stores,Somewhat aware,"No, but I would use them if I knew more",Getting rid of waste,Lack of local facilities,Dissatisfied,Likely,Very important,"Maybe, depends on the fee",A movement for ewaste management is required for awareness in people.
25-34,Unemployed/Retired,Female,"Dry, wet, E-waste","Yes, I know it can contain harmful chemicals.",Once a year,Selling to informal recyclers/Kabadiwalas,Unaware,"No, but I would use them if I knew more",Environmental concerns,Inconvenience of disposal options,Neutral,Very likely,Important,"Maybe, depends on the fee",Unawareness of e waste disposal is my personal concern..
25-34,Professional/Office worker,Male,"Dry, wet","No, I don't know much about E-waste.",Less than once a year,Donating to charity or second-hand stores,Neutral,"No, but I would use them if I knew more",Environmental concerns,Lack of local facilities,Dissatisfied,Likely,Important,No,
25-34,Professional/Office worker,Male,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Municipal waste collection,Unaware,"No, but I would use them if I knew more",Environmental concerns,Lack of local facilities,Neutral,Likely,Important,"Maybe, depends on the fee",
25-34,Professional/Office worker,Male,I do not segregate,"Yes, I know it refers to discarded electronic devices.",Less than once a year,Donating to charity or second-hand stores,Somewhat aware,"No, but I would use them if I knew more",Social responsibility,Lack of information on how to dispose,Neutral,Very likely,Very important,"Maybe, depends on the fee",NA
25-34,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Municipal waste collection,Somewhat aware,"No, but I would use them if I knew more",Social responsibility,Lack of local facilities,Dissatisfied,Very likely,Important,"Maybe, depends on the fee",Nil
25-34,Professional/Office worker,Male,I do not segregate,"Yes, I know it refers to discarded electronic devices.",More than twice a year,Municipal waste collection,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of local facilities,Neutral,Likely,Important,No,
25-34,Self-employed/Entrepreneur,Male,I do not segregate,"No, I don't know much about E-waste.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Unaware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Neutral,Likely,Very important,No,
18-24,Professional/Office worker,Male,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Once a year,Selling to informal recyclers/Kabadiwalas,Neutral,"No, but I would use them if I knew more",Getting rid of waste,Lack of local facilities,Dissatisfied,Very likely,Very important,Not sure,
35-44,Professional/Office worker,Female,"Dry, wet, E-waste","Yes, I know it can be recycled to recover valuable materials.",Less than once a year,Special e-waste collection programs,Somewhat aware,"No, but I would use them if I knew more",Social responsibility,Lack of local facilities,Dissatisfied,Likely,Very important,"Maybe, depends on the fee",
35-44,Self-employed/Entrepreneur,Female,"Dry, wet, E-waste","Yes, I know it can contain harmful chemicals.",Less than once a year,Special e-waste collection programs,Somewhat aware,"Yes, but I rarely use them",Environmental concerns,Lack of information on how to dispose,Satisfied,Very likely,Very important,"Maybe, depends on the fee",I think there is a need for increase in awareness as most people are not even aware of such options. Thanks.
35-44,Self-employed/Entrepreneur,Female,"Dry, wet","Yes, I know it can contain harmful chemicals.",Twice a year,Selling to informal recyclers/Kabadiwalas,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of local facilities,Neutral,Neutral,Important,"Maybe, depends on the fee",No
25-34,Home-Maker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Once a year,Donating to charity or second-hand stores,Very aware,"Yes, and I use them regularly",Environmental concerns,Lack of information on how to dispose,Very satisfied,Very likely,Very important,"Maybe, depends on the fee",
35-44,Professional/Office worker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",More than twice a year,Donating to charity or second-hand stores,Unaware,"No, but I would use them if I knew more",Social responsibility,Lack of information on how to dispose,Dissatisfied,Very likely,Very important,Yes,It would be better if people are aware of this facility and there are some disposable bins kept in each area.
18-24,Professional/Office worker,Female,"Dry, wet","Yes, I know it can contain harmful chemicals.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of local facilities,Dissatisfied,Very likely,Very important,"Maybe, depends on the fee",
18-24,Professional/Office worker,Male,"Dry, wet","Yes, I know it can be recycled to recover valuable materials.",Less than once a year,Donating to charity or second-hand stores,Somewhat aware,"No, but I would use them if I knew more",Social responsibility,Lack of local facilities,Neutral,Unlikely,Very important,No,
18-24,Professional/Office worker,Female,"Dry, wet","Yes, I know it can be recycled to recover valuable materials.",Twice a year,Municipal waste collection,Somewhat aware,"Yes, and I use them regularly",Environmental concerns,Lack of local facilities,Dissatisfied,Very likely,Neutral,Yes,
35-44,Professional/Office worker,Female,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Less than once a year,Special e-waste collection programs,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Neutral,Likely,Very important,"Maybe, depends on the fee",
18-24,Unemployed/Retired,Male,"Dry, wet","Yes, I know it can contain harmful chemicals.",More than twice a year,Donating to charity or second-hand stores,Somewhat aware,"No, but I would use them if I knew more",Social responsibility,Inconvenience of disposal options,Neutral,Likely,Very important,"Maybe, depends on the fee",
18-24,Professional/Office worker,Male,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Very aware,"Yes, but I rarely use them",Financial incentives,Lack of local facilities,Satisfied,Very likely,Very important,No,
35-44,Professional/Office worker,Female,"Dry, wet, E-waste","Yes, I know it can be recycled to recover valuable materials.",Once a year,Municipal waste collection,Very aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Dissatisfied,Very likely,Very important,Yes,
35-44,Professional/Office worker,Female,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Less than once a year,Donating to charity or second-hand stores,Very aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Satisfied,Neutral,Important,"Maybe, depends on the fee",No
25-34,Self-employed/Entrepreneur,Male,"Dry, wet","Yes, I know it can contain harmful chemicals.",More than twice a year,Selling to informal recyclers/Kabadiwalas,Somewhat aware,"No, but I would use them if I knew more",Social responsibility,Lack of local facilities,Neutral,Neutral,Neutral,Not sure,
18-24,Unemployed/Retired,Male,"Dry, wet","Yes, I know it can contain harmful chemicals.",More than twice a year,Municipal waste collection,Somewhat aware,"Yes, and I use them regularly",Environmental concerns,Inconvenience of disposal options,Neutral,Neutral,Important,"Maybe, depends on the fee",
25-34,Professional/Office worker,Male,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Less than once a year,Municipal waste collection,Very aware,"Yes, and I use them regularly",Environmental concerns,Lack of information on how to dispose,Dissatisfied,Likely,Important,"Maybe, depends on the fee",
18-24,Professional/Office worker,Female,I do not segregate,"Yes, I know it refers to discarded electronic devices.",More than twice a year,Municipal waste collection,Very aware,"No, but I would use them if I knew more",Environmental concerns,Lack of local facilities,Dissatisfied,Very likely,Very important,"Maybe, depends on the fee",
18-24,Professional/Office worker,Female,"Dry, wet","No, I don't know much about E-waste.",Once a year,Municipal waste collection,Neutral,"Yes, but I rarely use them",Environmental concerns,Lack of information on how to dispose,Neutral,Likely,Important,"Maybe, depends on the fee",
35-44,Professional/Office worker,Female,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Once a year,Special e-waste collection programs,Very aware,"No, but I would use them if I knew more",Environmental concerns,Inconvenience of disposal options,Neutral,Very likely,Very important,Yes,
18-24,Professional/Office worker,Male,"Dry, wet","Yes, I know it can be recycled to recover valuable materials.",Less than once a year,Selling to informal recyclers/Kabadiwalas,Very aware,"No, but I would use them if I knew more",Financial incentives,Lack of local facilities,Neutral,Likely,Important,"Maybe, depends on the fee","Dear team,
Your thought process and concern is very good and needed in the modern times. Just to add one thing to get more realistic answers for your survey do put blank options where a user can add specific answers if they had anything in their mind regarding to a particular question. 
Certainly, E waste is and will be more disturbing thing with in the increasing share of electronics in the every corner of human life dependencies. While working in automotive cybersecurity and software doamin I'm assuring you managing E waste coming from vehicles will be far more than our present gadgets available with us.

All the best for your journey ahead.

Best regards!"
45-54,Home-Maker,Female,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Municipal waste collection,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Neutral,Neutral,Very important,"Maybe, depends on the fee",
55 and above,Self-employed/Entrepreneur,Male,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Municipal waste collection,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Neutral,Likely,Important,"Maybe, depends on the fee",
18-24,Professional/Office worker,Male,"Dry, wet, E-waste","Yes, I know it refers to discarded electronic devices.",Less than once a year,Municipal waste collection,Neutral,"No, but I would use them if I knew more",Social responsibility,Lack of information on how to dispose,Very satisfied,Neutral,Important,"Maybe, depends on the fee","Awareness should be spread about what an E waste it, how it harms the environment, and on how to dispose it properly."
25-34,Self-employed/Entrepreneur,Male,"Dry, wet","Yes, I know it refers to discarded electronic devices.",Less than once a year,Municipal waste collection,Somewhat aware,"No, but I would use them if I knew more",Environmental concerns,Lack of information on how to dispose,Neutral,Neutral,Important,No,
